"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","CCL: curved carapace length","CCW: curved carapace width","D: the total number of dead hatchlings found inside the nest","Date","H: the total number of hatched hatchlings","Nest location","Nest position","Physical abnormality","Physical abnormality - comments","Predation","Turtle species","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","10","Jul 30, 2023","4:33:54 PM","97.091075","2.05416","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 30, 2023","","G: dune in grass","A: above high tide","","","Yes","CM: Green turtle","","4bed8bec74ba45a886ae77977b70908b"
"Patrol","9","Jul 30, 2023","4:31:14 PM","97.09067333333333","2.055005","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 30, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","3c085d07f04940ecae52948a6f93f67a"
"Patrol","8","Jul 30, 2023","4:28:13 PM","97.08990999999999","2.0563116666666668","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 30, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","c7ee9b29237f49c4bd00b86d3593ff8e"
"Patrol","7","Jul 30, 2023","4:27:36 PM","97.08981","2.056318333333333","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 30, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","dc2e75c65fcf436594b116993cc8d898"
"Patrol","6","Jul 30, 2023","4:22:25 PM","97.08784833333333","2.0583549999999997","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jul 30, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","Yes","CM: Green turtle","","2a4d30ba72034de587a2d14947529661"
"Patrol","5","Jul 30, 2023","4:19:00 PM","97.0869","2.059653333333333","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 30, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","1a0d9c714a66405aac6a46f06952a76a"
"Patrol","4","Jul 30, 2023","4:16:47 PM","97.08656333333332","2.0602233333333335","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jul 30, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","0903913be8e24486ad98205746bee5c5"
"Patrol","3","Jul 30, 2023","4:16:10 PM","97.08655833333333","2.06027","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jul 30, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","25879c1a7d6849f7a41fe21bc86145b8"
"Patrol","2","Jul 30, 2023","4:12:36 PM","97.08565500000002","2.0610033333333333","Aug 4, 2023, 3:35:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 30, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","777b6bbe1e1a4782a7b7effb6cba4ff0"
"Patrol","7","Jul 29, 2023","10:41:05 AM","97.09139166666667","2.0529366666666666","Aug 4, 2023, 3:35:22 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 29, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","f4eeee79dcb143f38bd62e7621d65187"
"Patrol","6","Jul 29, 2023","10:36:45 AM","97.09093666666668","2.0545433333333336","Aug 4, 2023, 3:35:22 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jul 29, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","4d564f59e4984b3ab71557981cc44ece"
"Patrol","5","Jul 29, 2023","10:32:24 AM","97.08998166666667","2.055918333333333","Aug 4, 2023, 3:35:22 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 29, 2023","","S: front slope of dune in sand","A: above high tide","","","","CM: Green turtle","","19cb3c7804e04fe0aa1cb3734a44043c"
