Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;7;6-Apr-23;8:34:05 AM;9709137666666660,00;20531983333333300,00;Apr 15, 2023, 10:55:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Apr-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;;CM: Green turtle;;;;d0c494f27221424b89ca1b0591e8c2a4
Patrol;6;6-Apr-23;8:31:06 AM;9709112666666660,00;20537883333333300,00;Apr 15, 2023, 10:55:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Apr-23;;;;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;;262e02c393984ad8b94a32eab2d24136
Patrol;5;6-Apr-23;8:25:55 AM;9709010166666660,00;20555016666666600,00;Apr 15, 2023, 10:55:40 AM;Dwi Iqbal Maulana;Bird's monitoring;;;Beach stone-curlew;;;;;;6-Apr-23;;;Beach;;;2.0;;;Ground;;;Standing;;;e03f3d978b5f42f8a1c904d9ff7a00a0
Patrol;4;6-Apr-23;8:21:41 AM;9708936999999990,00;20562833333333300,00;Apr 15, 2023, 10:55:40 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;6-Apr-23;;;;;;;;;;;;CM: Green turtle;;;;c0f31d9903e5436dabf5635ee7584997
Patrol;3;6-Apr-23;8:15:59 AM;9708782833333330,00;2058333333333330,00;Apr 15, 2023, 10:55:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Apr-23;;;;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;;21497c03dc364fd88721bba57f4cb279
Patrol;2;6-Apr-23;7:58:08 AM;9708285833333330,00;2063575,00;Apr 15, 2023, 10:55:40 AM;Dwi Iqbal Maulana;Bird's monitoring;;;Nias hill myna;;;Jarak  seratus meter;;;6-Apr-23;;;Forest;;;3.0;;;Tree;;;Feeding;;;b386482b6823480a81218be9c1ed1584
Patrol;8;5-Apr-23;9:17:04 AM;9709111499999990,00;20540366666666600,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Apr-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;0e994ebdf4d041329d6daec74897efa5
Patrol;7;5-Apr-23;9:12:25 AM;9709084,00;20549416666666600,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Apr-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;60824ec050c7422c89dc7428c4f71583
Patrol;6;5-Apr-23;9:09:20 AM;9709034333333330,00;20551666666666600,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;5-Apr-23;;;;;;;;;;;;CM: Green turtle;;;;f65adfe62504463a86936ef29dcd3862
Patrol;5;5-Apr-23;9:04:00 AM;9708903666666660,00;20569933333333300,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;5-Apr-23;;;110.0;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;4.0;7cd2808059564777aa9e158716ff65d1
Patrol;4;5-Apr-23;8:51:39 AM;9708751333333330,00;2058935,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;5-Apr-23;;;98.0;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;10.0;36be93e7bb394bf3a9edaf5f64c1a54b
Patrol;3;5-Apr-23;8:39:22 AM;9708722666666660,00;20594783333333300,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;5-Apr-23;;;111.0;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;13.0;2eee1c86b2e74666ba8e6193853d8f2b
Patrol;2;5-Apr-23;8:33:25 AM;9708711999999990,00;2059698333333330,00;Apr 15, 2023, 10:55:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Apr-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;;;CM: Green turtle;;;;a293e5d247a24828be9c929c49913dcd
Patrol;18;4-Apr-23;9:44:43 AM;97080715,00;20643066666666600,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Pantai kecil;;;;;;4-Apr-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;6817e5bdf10a4e999292b18c780e82f6
Patrol;17;4-Apr-23;9:40:48 AM;9708104499999990,00;20642033333333300,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Pantai kecil;;;;;;4-Apr-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;d6dfde0f2ef7433eb0fcf3c8fa09c006
Patrol;16;4-Apr-23;9:37:43 AM;9708112333333330,00;206414,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai kecil;;;;;;4-Apr-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;40c4b165941b4aaabcc6def24d78bed4
Patrol;15;4-Apr-23;9:35:46 AM;9708126833333330,00;20640316666666600,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Pantai kecil;;;;;;4-Apr-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;6c3e33e1e21a4cdfb029b2ba0231b206
Patrol;14;4-Apr-23;9:33:32 AM;9708142833333330,00;2063905,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai kecil;;;;;;4-Apr-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;5a27819fe7634eb4a6b76254ea3cb624
