Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;U: the total number of unhatched eggs in the nest;Observation Group
Patrol;7;9-Mar-23;1:07:34 PM;9709027833333330;205564;Mar 12, 2023, 4:19:14 PM;Adela Hemelikova;Sea turtle activity;P: predation;Amandangan;;;;;;9-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;3460c0596747499eb1a234bc6d0f9ed1
Patrol;4;9-Mar-23;12:59:02 PM;97089505;20564766666666600;Mar 12, 2023, 4:19:14 PM;Adela Hemelikova;Sea turtle activity;P: predation;Amandangan;;;;;;9-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;cff49a46f4bd4013ab827d9fd1bbfc11
Patrol;3;9-Mar-23;12:41:26 PM;9708466500000000;20614966666666600;Mar 12, 2023, 4:19:14 PM;Adela Hemelikova;Sea turtle activity;P: predation;Amandangan;;;;;;9-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;841dd873c3cd41d0b61b92412c4fa29d
Patrol;2;9-Mar-23;12:17:18 PM;9708188166666660;206677;Mar 12, 2023, 4:19:14 PM;Adela Hemelikova;Sea turtle activity;NS: nesting but not possible to confirm;Pantai pelanggaran;;;;;;9-Mar-23;;;;;G: dune in grass;BE: between low and high tide;;;;;;CM: Green turtle;;;b5d231bb9ca74adb993b2b29798a3d76
Patrol;3;8-Mar-23;11:45:27 AM;9709062166666660;20548083333333300;Mar 15, 2023, 10:37:16 PM;Adela Hemelikova;Bird's monitoring;;;Beach stone-curlew;;;;;;8-Mar-23;;;Beach;;;2.0;;;Ground;;;Vocalising, Walking/Running;;a107e97d1846424f8c25009b7ea86b41
Patrol;2;8-Mar-23;11:31:45 AM;9708951166666660;20565316666666600;Mar 15, 2023, 10:37:20 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;f663c1141d2e4a7ebc6e761f460cd883
Patrol;3;7-Mar-23;9:50:49 PM;9709003499999990;205596;Mar 12, 2023, 4:18:50 PM;Adela Hemelikova;Sea turtle activity;IS: successful nesting;Amandangan;;104.0;99.0;;;7-Mar-23;;Left side of the head, Right side of the head, Top side of the head;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;edfc2d91edb948d59c6b10c7bb98652f
Patrol;2;7-Mar-23;9:35:02 PM;9708721666666660;20595183333333300;Mar 12, 2023, 4:18:50 PM;Adela Hemelikova;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;4.5;4.0;;;7-Mar-23;;;110.0;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;8.0;25cca7653fc7464ba9e03ce95a561483
Patrol;14;7-Mar-23;10:22:06 AM;9708828166666660;20577416666666600;Mar 12, 2023, 4:18:38 PM;Adela Hemelikova;Sea turtle activity;P: predation;Amandangan;;;;;;7-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;2afad1dffb8449f39f22f6a20545be72
Patrol;11;7-Mar-23;9:55:53 AM;9709134333333330;2052871666666660;Mar 17, 2023, 8:40:04 PM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;7-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;61a723824c9b4ead854f8d6574f3b0d5
