"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Physical abnormality","Physical abnormality - comments","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","3","Apr 19, 2023","9:30:25 PM","97.089815","2.056235","Jul 4, 2023, 9:23:08 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Apr 19, 2023","","","","B: beach (between high tide and slope)","A: above high tide","","","","","","CM: Green turtle","","","fbe6bf5d2e464736a2a8ec77a0d86c59"
"Patrol","2","Apr 19, 2023","9:19:03 PM","97.087295","2.0593","Jul 4, 2023, 9:23:08 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","95.0","89.0","","","Apr 19, 2023","","","","B: beach (between high tide and slope)","A: above high tide","","","","","","CM: Green turtle","","","490d4ad5c96d4f07a49355ceccf07a78"
"Patrol","16","Apr 19, 2023","7:36:38 AM","97.09125666666665","2.053726666666667","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Apr 19, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","e0421e5e643a4e55aa1096bb36933e90"
"Patrol","15","Apr 19, 2023","7:32:07 AM","97.08996166666665","2.055558333333333","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","","Apr 19, 2023","","","","","","","","","","","CM: Green turtle","","","efbe19c9945845fca82f16102f1da782"
"Patrol","14","Apr 19, 2023","7:30:22 AM","97.08974333333332","2.056156666666667","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Apr 19, 2023","","112.0","","B: beach (between high tide and slope)","A: above high tide","","","","","","CM: Green turtle","","8.0","62418220aafa4658bc84863d8b0ec7f0"
"Patrol","13","Apr 19, 2023","7:21:02 AM","97.08948000000001","2.0564833333333334","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Apr 19, 2023","","78.0","","B: beach (between high tide and slope)","A: above high tide","","","","","","CM: Green turtle","","40.0","7b95b216700044a2bcff224039c91b2f"
"Patrol","12","Apr 19, 2023","7:09:11 AM","97.08927833333334","2.0566316666666666","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Apr 19, 2023","","","","B: beach (between high tide and slope)","A: above high tide","","","","","","CM: Green turtle","","","24991b54c2034cfaa864c42ec29b1243"
"Patrol","11","Apr 19, 2023","7:07:53 AM","97.08902000000002","2.0569183333333334","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Apr 19, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","40595c00078545db845d9391f3c55692"
"Patrol","10","Apr 19, 2023","7:05:55 AM","97.08877","2.05719","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Apr 19, 2023","","116.0","","B: beach (between high tide and slope)","A: above high tide","","","","","","CM: Green turtle","","18.0","3e8f623ecf95439e89537c220f0002e5"
"Patrol","9","Apr 19, 2023","6:55:34 AM","97.08776000000002","2.058466666666667","Jul 4, 2023, 9:23:05 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Apr 19, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","1127dea45398469cab78e2baed976d37"
