Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Date;Date;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Predation;Turtle species;Type of activity;U: the total number of unhatched eggs in the nest;Observation Group
Patrol;5;26-May-23;3:10:06 PM;9709136333333330,00;20530616666666600,00;Jul 4, 2023, 9:39:32 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Amandangan;;;;26-May-23;;;;;;;;;;CM: Green turtle;;;326552b522a348518459986d927df739
Patrol;4;26-May-23;2:45:57 PM;9708834499999990,00;20576716666666600,00;Jul 4, 2023, 9:39:32 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;26-May-23;;;;;;;;;;CM: Green turtle;;;d7c91360e6ed4341b0dac06a97377411
Patrol;3;26-May-23;2:43:20 PM;9708762333333330,00;2058806666666660,00;Jul 4, 2023, 9:39:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;26-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;Yes;CM: Green turtle;;;1ddc6d1ac4a44c269c3177c71bac1790
Patrol;2;26-May-23;2:37:10 PM;9708630333333330,00;2060268333333330,00;Jul 4, 2023, 9:39:32 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;26-May-23;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;Yes;CM: Green turtle;;;7fd5bce317fb425bb8c4c5d1b791ee4b
Patrol;4;25-May-23;11:09:52 PM;9709028000000000,00;20554783333333300,00;Jul 4, 2023, 9:39:25 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;96.0;85.0;25-May-23;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;CM: Green turtle;;;edb7ec19b68a4e9682455f4da3142606
Patrol;3;25-May-23;10:54:28 PM;9708712166666660,00;20596783333333300,00;Jul 4, 2023, 9:39:25 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;101.0;89.0;25-May-23;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;CM: Green turtle;;;3b77941230e144a3b198c091b09eb01c
Patrol;2;25-May-23;10:33:10 PM;9708720833333330,00;20596383333333300,00;Jul 4, 2023, 9:39:25 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;109.0;103.0;25-May-23;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;CM: Green turtle;;;3de1d5c16b05481ab8dbdb3b410d73e4
Patrol;13;25-May-23;2:34:29 PM;9709138666666660,00;20529433333333300,00;Jul 4, 2023, 9:39:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;25-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;5db4fd07a5f74a20986abe6351982fdb
Patrol;12;25-May-23;2:33:17 PM;9709137333333330,00;20529766666666600,00;Jul 4, 2023, 9:39:20 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;25-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;f23bce72cb89455eaff5ea912849dd34
Patrol;11;25-May-23;2:30:37 PM;9709131000000000,00;20535,00;Jul 4, 2023, 9:39:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;25-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;25db8a3310b44a319add79dafc9956e6
