"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","Facial ID taken","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Place","Predation","Turtle species","Type of activity","Type of activity (other)","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","15","Jun 10, 2023","1:01:05 PM","97.091145","2.054055","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","","","Jun 10, 2023","","","","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","","","874d59928e974489b4066e1517e12fef"
"Patrol","14","Jun 10, 2023","12:55:03 PM","97.09014833333335","2.055785","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","","","Jun 10, 2023","","","","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","","","9ac13f438dbe4b32a3b6fecdcb4869c1"
"Patrol","13","Jun 10, 2023","12:51:30 PM","97.08959166666666","2.0563149999999997","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","","","Jun 10, 2023","","","","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","","","a4ab377fdb134fdb9c13f7b2105555be"
"Patrol","12","Jun 10, 2023","12:48:49 PM","97.08900166666666","2.0569216666666668","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Jun 10, 2023","","","","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","","","11983ae879c54e9db6d3cc3893138118"
"Patrol","11","Jun 10, 2023","12:44:04 PM","97.08759333333334","2.0587516666666668","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Jun 10, 2023","","","","","S: front slope of dune in sand","A: above high tide","","","","CM: Green turtle","","","","901eb509f5ac4e0683e07df002fbb534"
"Patrol","10","Jun 10, 2023","12:40:41 PM","97.087255","2.0593733333333333","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Jun 10, 2023","","","","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","","","63704baecabc466baca51ff32e299699"
"Patrol","9","Jun 10, 2023","12:39:40 PM","97.08725000000001","2.0593933333333334","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","","Jun 10, 2023","","","","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","","","92208da4a91f429bb427b969468a18b7"
"Patrol","8","Jun 10, 2023","12:37:32 PM","97.08733833333332","2.059565","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Jun 10, 2023","","","","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","","","e7767ac1aed94351b6b588d8d92a58bf"
"Patrol","7","Jun 10, 2023","12:35:08 PM","97.08712666666666","2.0597133333333333","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Jun 10, 2023","","","","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","","","fb1c239918c8463192bd7febb8fe8097"
"Patrol","6","Jun 10, 2023","12:33:47 PM","97.08708499999999","2.0597316666666665","Jun 19, 2023, 7:28:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Jun 10, 2023","","","","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","","","14349b3334ac42fabe7530ba8849e3c9"
