Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;15;10-Jun-23;1:01:05 PM;97091145,00;2054055,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;10-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;874d59928e974489b4066e1517e12fef
Patrol;14;10-Jun-23;12:55:03 PM;9709014833333330,00;2055785,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;10-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;9ac13f438dbe4b32a3b6fecdcb4869c1
Patrol;13;10-Jun-23;12:51:30 PM;9708959166666660,00;20563149999999900,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;10-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;a4ab377fdb134fdb9c13f7b2105555be
Patrol;12;10-Jun-23;12:48:49 PM;9708900166666660,00;20569216666666600,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;10-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;11983ae879c54e9db6d3cc3893138118
Patrol;11;10-Jun-23;12:44:04 PM;9708759333333330,00;20587516666666600,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;10-Jun-23;;;;;S: front slope of dune in sand;A: above high tide;;;;CM: Green turtle;;;;901eb509f5ac4e0683e07df002fbb534
Patrol;10;10-Jun-23;12:40:41 PM;97087255,00;20593733333333300,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;10-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;63704baecabc466baca51ff32e299699
Patrol;9;10-Jun-23;12:39:40 PM;9708725000000000,00;20593933333333300,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;10-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;92208da4a91f429bb427b969468a18b7
Patrol;8;10-Jun-23;12:37:32 PM;9708733833333330,00;2059565,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Amandangan;;;;;;10-Jun-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;CM: Green turtle;;;;e7767ac1aed94351b6b588d8d92a58bf
Patrol;7;10-Jun-23;12:35:08 PM;9708712666666660,00;20597133333333300,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;10-Jun-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;CM: Green turtle;;;;fb1c239918c8463192bd7febb8fe8097
Patrol;6;10-Jun-23;12:33:47 PM;9708708499999990,00;20597316666666600,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;10-Jun-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;CM: Green turtle;;;;14349b3334ac42fabe7530ba8849e3c9
Patrol;5;10-Jun-23;12:28:33 PM;9708656666666660,00;2060036666666660,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;10-Jun-23;;;;;;;;;;CM: Green turtle;;;;fc40dba1fc1c4ef1814702284e4a7e83
Patrol;4;10-Jun-23;12:25:30 PM;9708598666666660,00;2060545,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;10-Jun-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;CM: Green turtle;;;;0963db77e2e44b7884135e4c6fdeefac
Patrol;3;10-Jun-23;12:09:21 PM;9708064833333330,00;2064415,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Pantai kecil;;;;;;10-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;6fa7793bde0c4d58b5733ec198213ae5
Patrol;2;10-Jun-23;12:02:23 PM;9708138833333330,00;20659733333333300,00;Jun 19, 2023, 7:28:27 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai pelanggaran;;;;;;10-Jun-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;CM: Green turtle;;;;b0860a27b390443db4ccb096ff5f9b76
Patrol;6;9-Jun-23;9:31:01 AM;9709058666666660,00;2055023333333330,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;9-Jun-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;CM: Green turtle;;;;11a218b49e0944468f361f089a5ec8ce
Patrol;5;9-Jun-23;9:27:25 AM;9709056000000000,00;205508,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;9-Jun-23;;;;;;;;;;CM: Green turtle;;;;eaaf2ead58e641f9a9c1d0e158f058d2
Patrol;4;9-Jun-23;9:25:54 AM;9709036666666660,00;20554083333333300,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;9-Jun-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;CM: Green turtle;;;;e96b440942cd462d9e7e7554c204abf3
Patrol;3;9-Jun-23;9:22:57 AM;9709006333333330,00;2055745,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;9-Jun-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;CM: Green turtle;;;;ce718b0d9f9945feae95f39551d41109
Patrol;2;9-Jun-23;9:12:29 AM;9708758666666660,00;205866,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;9-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;88cabba227ec47a69c526b6a3355133d
