"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","CCL: curved carapace length","CCW: curved carapace width","D: the total number of dead hatchlings found inside the nest","Date","H: the total number of hatched hatchlings","Nest location","Nest position","Predation","Turtle species","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","5","Jul 1, 2023","10:13:12 AM","97.08173833333333","2.066425","Jul 17, 2023, 3:50:01 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Pantai pelanggaran","","","","Jul 1, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","1dc53a86bda44481b3152afa98fe0767"
"Patrol","4","Jul 1, 2023","9:24:17 AM","97.091305","2.0534033333333332","Jul 17, 2023, 3:50:01 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jul 1, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","8012f6d5ea3b4698b7f3c037708f35d5"
"Patrol","3","Jul 1, 2023","9:18:11 AM","97.08986833333331","2.0560016666666665","Jul 17, 2023, 3:50:01 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jul 1, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","fcc639c76d7c45959ba263c1f5405300"
"Patrol","2","Jul 1, 2023","9:11:16 AM","97.08777166666665","2.0584783333333334","Jul 17, 2023, 3:50:01 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 1, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","ea4e6ab7b14146289bdae91f25467320"
"Patrol","8","Jun 30, 2023","12:05:00 PM","97.09137166666666","2.0529216666666668","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 30, 2023","","D: dune sand (area on top of dune)","A: above high tide","Yes","CM: Green turtle","","1a98a04d8412426c969f6fd81177f6dc"
"Patrol","7","Jun 30, 2023","12:03:27 PM","97.09126499999999","2.05335","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jun 30, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","2536b637cf2d4be386231807dca5c8b8"
"Patrol","6","Jun 30, 2023","11:57:18 AM","97.09091666666667","2.054666666666667","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","4.5","4.0","10.0","Jun 30, 2023","77.0","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","8.0","bce5859d1950424c97b3c33c6df8f225"
"Patrol","5","Jun 30, 2023","11:40:59 AM","97.09084333333334","2.0548066666666664","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jun 30, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","ab33eb2c2aa3493bb8916e46c35b1001"
"Patrol","4","Jun 30, 2023","11:39:12 AM","97.09062166666666","2.0549383333333333","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 30, 2023","","","","","CM: Green turtle","","915c59cf052c4758874891492557f1f6"
"Patrol","3","Jun 30, 2023","11:36:03 AM","97.08978666666665","2.056096666666667","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jun 30, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","90c3d7d6df5741eb8e00dd9ef82dcaee"
"Patrol","2","Jun 30, 2023","11:28:59 AM","97.08722833333334","2.0592483333333336","Jul 17, 2023, 3:45:32 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 30, 2023","","","","","CM: Green turtle","","654be9f1a35b43598e27b00c0adf9269"
"Patrol","5","Jun 30, 2023","12:19:49 AM","97.08756","2.058765","Jul 17, 2023, 3:45:17 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","101.0","90.0","","Jun 30, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","02c838cabb634b2d8f5f26677ea973b9"
"Patrol","4","Jun 30, 2023","12:01:00 AM","97.08900666666665","2.056835","Jul 17, 2023, 3:45:17 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","5.0","4.0","","Jun 29, 2023","92.0","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","7.0","42e8ee14cce048c489f49966b0068b30"
"Patrol","3","Jun 29, 2023","11:14:39 PM","97.09130166666667","2.0535616666666665","Jul 17, 2023, 3:45:17 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","4.5","4.0","","Jun 29, 2023","62.0","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","3.0","7b3b62b273524de2b0f71a776208f52e"
"Patrol","2","Jun 29, 2023","10:49:44 PM","97.09036499999999","2.055355","Jul 17, 2023, 3:45:17 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","Jun 29, 2023","114.0","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","6.0","1bb5424f2f7e4cfbbe52f682af14f567"
"Patrol","7","Jun 28, 2023","4:14:34 PM","97.08866000000002","2.057285","Jul 17, 2023, 3:45:03 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jun 28, 2023","","B: beach (between high tide and slope)","A: above high tide","Yes","CM: Green turtle","","28e98a6179524531aeafe1edbc1ed213"
"Patrol","6","Jun 28, 2023","4:12:16 PM","97.08916666666667","2.0567983333333335","Jul 17, 2023, 3:45:03 PM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","Jun 28, 2023","","G: dune in grass","A: above high tide","Yes","CM: Green turtle","","5f3ca5daa01c4e0b88ea1404c86cbb72"
"Patrol","5","Jun 28, 2023","2:47:15 PM","97.09129333333334","2.052513333333333","Jul 17, 2023, 3:45:03 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jun 28, 2023","","G: dune in grass","A: above high tide","","CM: Green turtle","","6151096e8728497db4c239cdfadc0d8a"
"Patrol","4","Jun 28, 2023","2:44:12 PM","97.09111833333333","2.0537966666666665","Jul 17, 2023, 3:45:03 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 28, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","3ad58a54d3ec4729ad47ff3ac13585f1"
"Patrol","3","Jun 28, 2023","2:42:42 PM","97.09120499999999","2.0539899999999998","Jul 17, 2023, 3:45:03 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 28, 2023","","G: dune in grass","A: above high tide","","CM: Green turtle","","e828088a8f65488eb24dac36bdb31956"
"Patrol","2","Jun 28, 2023","2:40:30 PM","97.09091666666667","2.054655","Jul 17, 2023, 3:45:03 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 28, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","75b9b7d20d784170a6bf0c5fd2687a03"
"Patrol","9","Jun 27, 2023","9:34:33 AM","97.091355","2.052938333333333","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 27, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","38ca84de791d43edb92949537d8bbfab"
"Patrol","8","Jun 27, 2023","9:30:57 AM","97.09111166666668","2.0541883333333333","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 27, 2023","","","","","CM: Green turtle","","464351a85b2c4f18883b0ae0eb67bca6"
"Patrol","7","Jun 27, 2023","9:26:12 AM","97.09013166666666","2.055595","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 27, 2023","","","","","CM: Green turtle","","97a0dad55b5c44c6b6b07e50abc6e8af"
"Patrol","6","Jun 27, 2023","9:23:59 AM","97.08976833333332","2.0558816666666666","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 27, 2023","","","","","CM: Green turtle","","8877186e5e524727b3faa45be2a91b92"
"Patrol","5","Jun 27, 2023","9:21:29 AM","97.08902000000002","2.056888333333333","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 27, 2023","","","","","CM: Green turtle","","58523378b5d5469e92a3b5f3662cbe68"
"Patrol","4","Jun 27, 2023","9:19:26 AM","97.08841333333334","2.0575449999999997","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 27, 2023","","B: beach (between high tide and slope)","BE: between low and high tide","","CM: Green turtle","","39f578d420b2473e97e4be425f10cde7"
"Patrol","3","Jun 27, 2023","9:18:15 AM","97.08834499999999","2.0576483333333333","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","Jun 27, 2023","","","","","CM: Green turtle","","187ea39758454f07a5f74e1f6ae4a795"
"Patrol","2","Jun 27, 2023","9:10:38 AM","97.08564333333334","2.0608983333333333","Jul 17, 2023, 3:44:43 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jun 27, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","f2355bdead304430bd237c00f23e18ee"
"Patrol","4","Jun 26, 2023","11:52:46 PM","97.09008666666665","2.0556616666666665","Jul 17, 2023, 3:43:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","92.0","82.0","","Jun 26, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","827e7bd664114c0bb6b3a8598cea6c94"
"Patrol","3","Jun 26, 2023","11:44:15 PM","97.09128833333334","2.0535349999999997","Jul 17, 2023, 3:43:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","95.0","89.0","","Jun 26, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","7425809785d54cc3af19b133a2350835"
"Patrol","2","Jun 26, 2023","10:47:53 PM","97.09086","2.0547449999999996","Jul 17, 2023, 3:43:42 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","110.0","106.0","","Jun 26, 2023","","B: beach (between high tide and slope)","A: above high tide","","CM: Green turtle","","e0336238cf6f454aa5313eefc2b8d391"
"Patrol","3","Jun 25, 2023","11:32:31 PM","97.09040833333331","2.0553533333333336","Jul 17, 2023, 3:43:36 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","91.0","82.0","","Jun 25, 2023","","S: front slope of dune in sand","A: above high tide","","CM: Green turtle","","c6583cb077d34bea9b271e98d37594bc"
"Patrol","2","Jun 25, 2023","10:34:09 PM","97.08878833333334","2.057148333333333","Jul 17, 2023, 3:43:36 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","105.0","90.0","","Jun 25, 2023","","G: dune in grass","A: above high tide","","CM: Green turtle","","500e408edbef4950a5cc0c8ddd51d73d"
"Patrol","15","Jun 25, 2023","8:21:28 AM","97.08138166666667","2.0638433333333333","Jul 17, 2023, 3:43:30 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Pantai kecil","","","","Jun 25, 2023","","T: beneath tree, shrub, forest","A: above high tide","","CM: Green turtle","","d444e0d95f2c414d9638246f2800172f"
"Patrol","14","Jun 25, 2023","7:48:22 AM","97.09130833333332","2.0526133333333334","Jul 17, 2023, 3:43:30 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","Jun 25, 2023","","G: dune in grass","A: above high tide","","CM: Green turtle","","c10e82842adf491bbaf2691f53d03f2a"
