"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","16","Jul 15, 2023","7:42:13 AM","97.09134833333334","2.0530649999999997","Jul 17, 2023, 3:54:38 PM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","4.5","4.0","","Jul 15, 2023","","69.0","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","18.0","59a9c47ce018489d8c2c9e841d1c552d"
"Patrol","15","Jul 15, 2023","7:28:53 AM","97.09099333333333","2.0542733333333336","Jul 17, 2023, 3:54:38 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","Jul 15, 2023","","","","B: beach (between high tide and slope)","A: above high tide","","","","CM: Green turtle","","","ae1a1dfb51384dddbd9375ec1b58ccf4"
"Patrol","14","Jul 15, 2023","7:25:12 AM","97.09057166666668","2.0552","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","Jul 15, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","","5186e7c569f54d2bbab5e960b53b11b9"
"Patrol","13","Jul 15, 2023","7:20:47 AM","97.08896666666666","2.0569316666666664","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","Jul 15, 2023","","","","","","","","","CM: Green turtle","","","4b9bf0f5144a4fad9b3f875da25f10a7"
"Patrol","12","Jul 15, 2023","7:20:08 AM","97.08888499999999","2.0569983333333335","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","Jul 15, 2023","","","","B: beach (between high tide and slope)","A: above high tide","","","","CM: Green turtle","","","1fcdf45a59144379b200349051750061"
"Patrol","11","Jul 15, 2023","7:18:31 AM","97.08844833333333","2.0575233333333336","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","Jul 15, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","","3d974016965e4704920af5b5a7812552"
"Patrol","10","Jul 15, 2023","7:16:27 AM","97.08794000000002","2.058185","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","Jul 15, 2023","","","","","","","","","CM: Green turtle","","","110af18748dd4a278175a640e5aac999"
"Patrol","9","Jul 15, 2023","7:15:10 AM","97.08766666666666","2.058543333333333","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","Jul 15, 2023","","","","","","","","","CM: Green turtle","","","73ebdb1f4fa743fda03317f55c575f5c"
"Patrol","8","Jul 15, 2023","7:14:26 AM","97.08760499999998","2.05879","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","Jul 15, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","","6215c63c1fb44f199aba11b2f8b2180f"
"Patrol","7","Jul 15, 2023","7:11:32 AM","97.08734833333334","2.0591416666666666","Jul 17, 2023, 3:54:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","Jul 15, 2023","","","","S: front slope of dune in sand","A: above high tide","","","","CM: Green turtle","","","2f07ccc8b54a468283896e7d710bc989"
