"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Physical abnormality","Physical abnormality - comments","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","6","Mar 21, 2023","10:01:19 AM","97.09045833333333","2.0548166666666665","Jul 4, 2023, 9:21:38 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 21, 2023","","","","S: front slope of dune in sand","BE: between low and high tide","","","","","","CM: Green turtle","","","8ecc322f548d43b49d5a8b186641bd9c"
"Patrol","5","Mar 21, 2023","9:35:16 AM","97.09104166666665","2.0539899999999998","Jul 4, 2023, 9:21:38 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 21, 2023","","","","S: front slope of dune in sand","A: above high tide","","","","","","CM: Green turtle","","","eb01b96841e74db1ad2dc9adf0cca33f"
"Patrol","4","Mar 21, 2023","9:28:44 AM","97.08977166666666","2.0561149999999997","Jul 4, 2023, 9:21:38 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 21, 2023","","","","S: front slope of dune in sand","A: above high tide","","","","","","CM: Green turtle","","","da9647e493794229b6b55aa84234b4f2"
"Patrol","3","Mar 21, 2023","9:27:35 AM","97.08973499999999","2.056388333333333","Jul 4, 2023, 9:21:38 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 21, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","7b2310ee260a415c9dce5ac1f86e47bd"
"Patrol","2","Mar 21, 2023","9:26:00 AM","97.08954","2.056456666666667","Jul 4, 2023, 9:21:38 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Mar 21, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","4df036ffd1654048801e75bb47ca8c91"
"Patrol","6","Mar 21, 2023","12:12:27 AM","97.08958166666667","2.0563466666666668","Jul 4, 2023, 9:21:31 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","109.0","98.0","","","Mar 21, 2023","","","","S: front slope of dune in sand","A: above high tide","","P: Parasites","Memiliki parasit","","","CM: Green turtle","","","1c34a387faf349f2a234c6229968c634"
"Patrol","5","Mar 21, 2023","12:01:55 AM","97.08962166666667","2.056305","Jul 4, 2023, 9:21:31 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","94.0","84.0","","","Mar 21, 2023","","","","S: front slope of dune in sand","A: above high tide","","","","","","CM: Green turtle","","","c7da0dbba9c34c5fb3d5876102e35aa0"
"Patrol","4","Mar 20, 2023","10:51:01 PM","97.090245","2.05571","Jul 4, 2023, 9:21:31 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","105.0","94.0","","","Mar 20, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","63c77e52916046088ebcfdcf62ca3c0d"
"Patrol","3","Mar 20, 2023","10:19:15 PM","97.08938333333332","2.05661","Jul 4, 2023, 9:21:31 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","92.0","85.0","","","Mar 20, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","1d4a203639ea4d37aea7dd979afc74e4"
"Patrol","2","Mar 20, 2023","10:08:50 PM","97.08851000000001","2.0575416666666664","Jul 4, 2023, 9:21:31 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","91.0","101.0","","","Mar 20, 2023","","","","S: front slope of dune in sand","A: above high tide","","","","","","CM: Green turtle","","","02e00e3a71bb4499ac2cdb98b52d66e9"
